provider,count,share_pct,top_categories
Ar Solutions,293,94.21,Autonomous Service Agents (276); Agent Assist & Copilot (264); Procure-to-Pay (P2P) (260); Back-Office & Process Management (256); HR Helpdesk (253)
Alorica,14,4.5,Customer Experience (CX) Operations (14); Digital Transformation Strategy (10); Human Resources (HRO) (10); Agent Assist & Copilot (10); Auto & Asset-Backed (9)
Encore Capital Group,4,1.29,Digital Self-Cure Journeys (4); Human Resources (HRO) (4); Commercial & B2B (4); Fraud & Disputes (4); Digital Transformation Strategy (4)
